"id","nome","comune_appartenenza","comuneId","vendita_minima(€/m²)","vendita_media(€/m²)","vendita_massima(€/m²)","affitto_minimo(€/mese)","affitto_medio(€/mese)","affitto_massimo(€/mese)","popolazione","densita_popolazione(ab./km²)","superficie(km²)","famiglie","maschi(%)","femmine(%)","stranieri(%)","eta_media(anni)"
163,Mazzo - Pantanedo,Rho,160,0,2024,0,0,14.51,0,0,0,0,0,0,0,0,0
164,Passirana - Biringhello,Rho,160,0,1881,0,0,11.82,0,0,0,0,0,0,0,0,0
165,San Pietro - Pace,Rho,160,0,2135,0,0,12.56,0,0,0,0,0,0,0,0,0
166,San Giovanni,Rho,160,0,1907,0,0,10.71,0,0,0,0,0,0,0,0,0
167,San Carlo - San Paolo,Rho,160,0,2316,0,0,10.83,0,0,0,0,0,0,0,0,0
168,Terrazzano,Rho,160,0,1943,0,0,13.41,0,0,0,0,0,0,0,0,0
169,Stellanda - Castellazzo,Rho,160,0,1855,0,0,9,0,0,0,0,0,0,0,0,0
170,Lucernate,Rho,160,0,2220,0,0,10.91,0,0,0,0,0,0,0,0,0
171,Stazione,Rho,160,0,2229,0,0,11.85,0,0,0,0,0,0,0,0,0
172,Robecchetto con Induno,Robecchetto con Induno,172,925,1079,5271,6.63,6.84,22.02,4767,342.3,13.93,1988,49.9,50.1,7,46.3
173,Robecco sul Naviglio,Robecco sul Naviglio,173,925,1417,5271,6.63,7.76,22.02,6745,340.9,19.78,2916,49.1,50.9,5.1,45.7
174,Rodano,Rodano,174,925,2147,5271,6.63,10.91,22.02,4627,353.9,13.07,1903,49.6,50.4,5.7,44.4
175,Rosate,Rosate,175,925,1614,5271,6.63,12.05,22.02,5758,308.2,18.68,2467,50.4,49.6,7.5,44.6
176,Rozzano,Rozzano,176,925,2384,5271,6.63,15.02,22.02,41435,3384.4,12.24,18268,48.5,51.5,11.8,44.5
177,San Colombano al Lambro,San Colombano al Lambro,177,925,925,5271,6.63,7.17,22.02,7239,437.4,16.55,3307,49.4,50.6,9.1,47.3
178,San Donato Milanese,San Donato Milanese,178,925,2807,5271,6.63,13.55,22.02,32008,2486.4,12.87,14518,48.5,51.5,12.3,45.8
179,San Giorgio Su Legnano,San Giorgio Su Legnano,179,925,1377,5271,6.63,9.8,22.02,6697,3089,2.17,2944,49.2,50.8,10.1,46.3
180,San Giuliano Milanese,San Giuliano Milanese,180,1847,2147,2584,10.94,12.8,13.91,39253,1271.7,30.87,16973,49.8,50.2,18.5,43
181,Centro,San Giuliano Milanese,180,0,1974,0,0,13.02,0,0,0,0,0,0,0,0,0
