"id","nome","areaSTIBM","latitudine","longitudine","tipo_mezzo"
87,Repubblica,Mi1,"9.1979411","45.4794372",metro
88,Maciachini,Mi1,"9.1850263","45.4976899",metro
89,Zara,Mi1,"9.1928945","45.4926642",metro
90,Sondrio,Mi1,"9.2008456","45.48983",metro
91,Centrale FS,Mi1,"9.2032043","45.4845016",metro
92,Affori Centro,Mi1,"9.1739662","45.5135394",metro
93,Comasina,Mi1,"9.1637084","45.5281283",metro
94,Linate Aeroporto,"","9.2782196","45.4628444",metro
95,Stazione Forlanini,"","9.2363556","45.4643154",metro
96,Repetti,"Le prime fermate che saranno inaugurate il 26 novembre saranno: Linate Aeroporto, Repetti (che collega il quartiere Forlanini con il resto della cittÃ ), Stazione Forlanini (che si incrocia con il passante), Argonne, Susa e Dateo (anche qui si collega con","9.2403893","45.4620064",metro
97,San Donato,Mi1/Mi3,"9.2563154","45.429086",metro
98,Porto di Mare,Mi1,"9.2303777","45.4371382",metro
99,Brenta,Mi1,"9.2185197","45.4427688",metro
100,Corvetto,Mi1,"9.2234375","45.4403776",metro
101,Lodi T.I.B.B.,Mi1,"9.2107332","45.4468046",metro
102,Porta Romana,Mi1,"9.2032066","45.4515333",metro
103,Crocetta,Mi1,"9.1955754","45.4562736",metro
104,Missori,Mi1,"9.1893681","45.4599554",metro
105,Gioia,Mi1,"9.1947909","45.4848401",metro
106,Lambrate FS,Mi1,"9.2356061","45.4844482",metro
107,Piola,Mi1,"9.2252588","45.4808531",metro
108,Loreto,Mi1,"9.2157423","45.4852129",metro
109,Caiazzo,Mi1,"9.2094139","45.4853047",metro
110,Crescenzago,Mi1,"9.2477628","45.5048602",metro
111,Cimiano,Mi1,"9.2407696","45.499541",metro
112,Udine,Mi1,"9.2370179","45.4912082",metro
113,Cascina Burrona,Mi3,"9.297902","45.5173026",metro
114,Vimodrone,Mi3,"9.2856571","45.515756",metro
115,Cernusco sul Naviglio,Mi4,"9.3308377","45.5209871",metro
116,Villa Fiorita,Mi4,"9.3460966","45.5204949",metro
117,Villa Pompea,Mi5,"9.385051","45.5277793",metro
118,Gessate,Mi6,"9.4366584","45.5452734",metro
119,Romolo,Mi1,"9.1677011","45.4437345",metro
120,Porta Genova FS,Mi1,"9.1693602","45.4520244",metro
121,Sant Agostino,Mi1,"9.1698098","45.4585981",metro
122,Sant Ambrogio,Mi1,"9.1733825","45.461773",metro
123,Cadorna FN,Mi1,"9.176463","45.4682326",metro
124,Lanza,Mi1,"9.1823052","45.4718013",metro
125,Moscova,Mi1,"9.1843685","45.4770858",metro
126,Sesto Rondò,Mi3,"9.2315475","45.5343356",metro
127,Sesto Marelli,Mi1/Mi3,"9.2279272","45.5234791",metro
128,Villa San Giovanni,Mi1,"9.2261092","45.5174649",metro
129,Precotto,Mi1,"9.2244644","45.5120331",metro
130,Gorla,Mi1,"9.2226651","45.5061558",metro
131,Turro,Mi1,"9.2209865","45.5004487",metro
132,Rovereto,Mi1,"9.2194872","45.495536",metro
133,Pasteur,Mi1,"9.2179293","45.4902857",metro
134,San Babila,Mi1,"9.197568","45.4666474",metro
135,Palestro,Mi1,"9.2021428","45.4716297",metro
136,Lima,Mi1,"9.2109589","45.480357",metro
137,Cairoli,Mi1,"9.1819853","45.4684915",metro
138,Cordusio,Mi1,"9.1862299","45.4655495",metro
139,Sesto 1 Maggio FS,Mi3,"9.2383256","45.5416794",metro
140,Pero,Mi3,"9.0857088","45.5088",metro
141,Inganni,Mi1,"9.1222244","45.4575781",metro
142,Primaticcio,Mi1,"9.1292549","45.4594303",metro
143,Bande Nere,Mi1,"9.1364657","45.461524",metro
144,Gambara,Mi1,"9.1430147","45.4649139",metro
145,Molino Dorino,Mi1,"9.0933177","45.5051543",metro
146,San Leonardo,Mi1,"9.1015462","45.5011378",metro
147,Bonola,Mi1,"9.1101295","45.4970317",metro
148,Uruguay,Mi1,"9.1202555","45.4938806",metro
149,Lampugnano,Mi1,"9.1271948","45.489492",metro
150,QT8,Mi1,"9.1370307","45.4860084",metro
151,Lotto,Mi1,"9.1437786","45.479692",metro
152,Amendola,Mi1,"9.1509963","45.4736967",metro
153,Buonarroti,Mi1,"9.155316","45.4704169",metro
154,De Angeli,Mi1,"9.1495656","45.4664527",metro
155,Wagner,Mi1,"9.1555175","45.4678782",metro
156,Pagano,Mi1,"9.161102","45.4683019",metro
157,Conciliazione,Mi1,"9.1666054","45.467522",metro
158,San Siro Stadio,Mi1,"9.1183538","45.4762325",metro
159,San Siro Ippodromo,Mi1,"9.1290328","45.4760554",metro
160,Segesta,Mi1,"9.1379391","45.476243",metro
161,Portello,Mi1,"9.1506045","45.4813162",metro
162,Tre Torri,Mi1,"9.1567618","45.478044",metro
163,Domodossola FN,Mi1,"9.1619408","45.4814045",metro
164,Gerusalemme,Mi1,"9.1666565","45.4844616",metro
165,Cenisio,Mi1,"9.172262","45.4874537",metro
166,Monumentale,Mi1,"9.1804883","45.4851181",metro
167,Bignami,Mi1,"9.2121828","45.5267835",metro
168,Ponale,Mi1,"9.2094704","45.5219991",metro
169,Bicocca,Mi1,"9.2053603","45.5147332",metro
170,Ca  Granda - Pratocentenaro,Mi1,"9.201118","45.5072418",metro
171,Istria,Mi1,"9.197952","45.5016171",metro
172,Marche,Mi1,"9.1949689","45.496352",metro
173,Isola,Mi1,"9.1912938","45.487612",metro
174,Dateo,"","9.2184474","45.4680015",metro
175,Argonne,"","9.2319078","45.4680832",metro
176,Susa,"","9.2248739","45.4680673",metro
177,Tricolore,"","9.2077742","45.4679057",metro
